date,MMM,AOS,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AAP,AMD,AES,AFL,A,APD,AKAM,ALK,ALB,ARE,ALXN,ALGN,ALLE,LNT,ALL,GOOGL,GOOG,MO,AMZN,AMCR,AEE,AAL,AEP,AXP,AIG,AMT,AWK,AMP,ABC,AME,AMGN,APH,ADI,ANSS,ANTM,AON,APA,AAPL,AMAT,APTV,ADM,ANET,AJG,AIZ,T,ATO,ADSK,ADP,AZO,AVB,AVY,BKR,BLL,BAC,BAX,BDX,BRK.B,BBY,BIO,BIIB,BLK,BA,BKNG,BWA,BXP,BSX,BMY,AVGO,BR,BF.B,CHRW,COG,CDNS,CZR,CPB,COF,CAH,KMX,CCL,CARR,CTLT,CAT,CBOE,CBRE,CDW,CE,CNC,CNP,CERN,CF,SCHW,CHTR,CVX,CMG,CB,CHD,CI,CINF,CTAS,CSCO,C,CFG,CTXS,CME,CMS,KO,CTSH,CL,CMCSA,CMA,CAG,COP,ED,STZ,CPRT,GLW,CTVA,COST,CCI,CSX,CMI,CVS,DHI,DHR,DRI,DVA,DE,DAL,XRAY,DVN,DXCM,FANG,DLR,DFS,DISCA,DISCK,DISH,DG,DLTR,D,DPZ,DOV,DOW,DTE,DUK,DRE,DD,DXC,EMN,ETN,EBAY,ECL,EIX,EW,EA,EMR,ENPH,ETR,EOG,EFX,EQIX,EQR,ESS,EL,ETSY,RE,EVRG,ES,EXC,EXPE,EXPD,EXR,XOM,FFIV,FB,FAST,FRT,FDX,FIS,FITB,FRC,FE,FISV,FLT,FLIR,FMC,F,FTNT,FTV,FBHS,FOXA,FOX,BEN,FCX,GPS,GRMN,IT,GNRC,GD,GE,GIS,GM,GPC,GILD,GPN,GL,GS,GWW,HAL,HBI,HIG,HAS,HCA,PEAK,HSIC,HES,HPE,HLT,HFC,HOLX,HD,HON,HRL,HST,HWM,HPQ,HUM,HBAN,HII,IEX,IDXX,INFO,ITW,ILMN,INCY,IR,INTC,ICE,IBM,IFF,IP,IPG,INTU,ISRG,IVZ,IPGP,IQV,IRM,JBHT,JKHY,J,SJM,JNJ,JCI,JPM,JNPR,KSU,K,KEY,KEYS,KMB,KIM,KMI,KLAC,KHC,KR,LB,LHX,LH,LRCX,LW,LVS,LEG,LDOS,LEN,LLY,LNC,LIN,LYV,LKQ,LMT,L,LOW,LUMN,LYB,MTB,MRO,MPC,MKTX,MAR,MMC,MLM,MAS,MA,MXIM,MKC,MCD,MCK,MDT,MRK,MET,MTD,MGM,MCHP,MU,MSFT,MAA,MHK,TAP,MDLZ,MPWR,MNST,MCO,MS,MSI,MSCI,NDAQ,NTAP,NFLX,NWL,NEM,NWSA,NWS,NEE,NLSN,NKE,NI,NSC,NTRS,NOC,NLOK,NCLH,NOV,NRG,NUE,NVDA,NVR,NXPI,ORLY,OXY,ODFL,OMC,OKE,ORCL,OTIS,PCAR,PKG,PH,PAYX,PAYC,PYPL,PENN,PNR,PBCT,PEP,PKI,PRGO,PFE,PM,PSX,PNW,PXD,PNC,POOL,PPG,PPL,PFG,PG,PGR,PLD,PRU,PTC,PEG,PSA,PHM,PVH,QRVO,QCOM,PWR,DGX,RL,RJF,RTX,O,REG,REGN,RF,RSG,RMD,RHI,ROK,ROL,ROP,ROST,RCL,SPGI,CRM,SBAC,SLB,STX,SEE,SRE,NOW,SHW,SPG,SWKS,SNA,SO,LUV,SWK,SBUX,STT,STE,SYK,SIVB,SYF,SNPS,SYY,TMUS,TROW,TTWO,TPR,TGT,TEL,TDY,TFX,TER,TSLA,TXN,TXT,BK,CLX,COO,HSY,MOS,TRV,DIS,TMO,TJX,TSCO,TT,TDG,TRMB,TFC,TWTR,TYL,TSN,USB,UDR,ULTA,UAA,UA,UNP,UAL,UPS,URI,UNH,UHS,UNM,VLO,VTR,VRSN,VRSK,VZ,VRTX,VFC,VIAC,VTRS,V,VNO,VMC,WRB,WBA,WMT,WM,WAT,WEC,WFC,WELL,WST,WDC,WU,WAB,WRK,WY,WHR,WMB,WLTW,WYNN,XEL,XLNX,XYL,YUM,ZBRA,ZBH,ZION,ZTS
2017-05-21,14,0,0,6,0,31,21,8,27,31,18,7,19,0,0,1,9,18,38,4,0,13,21,38,39,28,26,0,33,2,30,16,30,18,24,41,21,3,46,8,30,0,19,4,15,12,36,0,42,19,0,0,14,0,36,20,74,44,26,0,0,40,12,29,13,31,15,18,15,3,0,0,0,39,18,34,34,0,0,0,6,0,5,14,9,0,1,0,0,35,14,31,12,7,5,26,10,37,9,11,23,18,16,54,21,13,0,13,26,0,23,33,36,22,46,17,34,11,19,37,32,9,19,32,0,30,9,38,46,16,9,3,7,37,50,3,46,9,0,13,0,5,0,6,19,9,32,33,18,0,5,46,21,0,9,34,25,22,32,10,44,5,7,30,3,15,14,0,12,40,0,30,5,19,0,28,54,21,37,65,11,0,10,27,0,3,22,9,0,12,10,0,0,16,29,6,0,0,16,15,12,13,13,27,16,0,56,16,18,17,14,5,10,18,27,0,4,8,33,14,22,18,0,16,17,6,12,16,39,8,50,0,0,40,12,22,34,0,8,25,19,17,28,21,12,13,31,0,30,0,61,26,0,10,0,4,0,30,23,10,17,10,12,0,11,25,35,19,25,8,29,12,2,15,23,0,5,13,60,8,26,12,14,12,19,0,6,0,46,24,27,0,0,6,10,6,18,14,45,11,29,25,0,14,22,58,18,21,26,100,3,13,12,10,22,0,18,39,0,18,0,34,11,32,19,48,11,5,10,50,12,5,31,7,9,31,0,11,0,0,6,35,20,32,17,4,49,2,19,0,7,7,0,0,29,22,9,0,7,3,0,10,22,20,32,3,41,30,27,29,31,24,24,20,27,20,26,21,31,49,36,36,42,15,28,27,0,6,22,0,1,37,0,7,29,0,13,0,13,19,0,0,1,38,9,36,10,29,14,0,7,29,3,19,14,22,6,23,17,27,29,35,0,6,0,21,21,37,36,0,21,12,14,0,23,5,10,24,32,0,22,47,12,11,8,2,10,23,16,8,0,0,29,0,22,31,0,28,27,25,19,2,17,23,16,17,0,18,32,0,0,37,0,30,0,0,31,0,36,0,15,16,14,21,20,13,16,0,40,4,0,0,20,18,21,0,8,0,15,0,22,10,0,7,29
2017-05-28,14,55,3,6,0,13,14,8,9,23,0,7,16,24,33,3,9,15,27,0,69,13,19,28,32,19,24,0,16,1,18,3,20,35,0,30,26,0,23,9,100,0,6,7,8,11,36,0,16,16,0,0,16,12,13,15,52,0,0,0,42,32,25,6,8,15,17,11,20,3,0,0,0,17,18,36,56,0,0,11,6,0,0,18,17,21,1,11,0,20,9,16,12,14,29,18,10,46,0,46,19,18,8,13,34,0,31,12,34,10,0,25,48,14,38,19,44,11,10,11,26,9,0,5,0,27,17,41,23,15,18,7,0,37,43,2,11,13,10,5,0,5,0,0,19,9,19,25,21,59,5,9,21,0,11,6,25,22,35,20,9,50,4,22,1,0,13,2,12,0,0,21,3,45,0,34,63,0,37,32,9,15,10,20,12,2,22,9,16,15,10,0,0,32,26,11,17,0,0,11,15,25,9,0,15,0,43,12,9,12,0,4,0,0,28,0,11,0,0,12,13,13,0,16,48,3,23,33,30,25,20,0,0,34,0,0,34,0,15,8,38,0,9,20,15,19,24,0,49,0,23,13,0,10,0,0,16,0,16,29,11,10,12,18,5,30,38,45,5,2,34,12,6,17,13,0,0,8,20,4,26,12,0,12,10,0,0,0,22,15,24,0,0,12,10,1,0,10,18,45,0,24,8,7,21,33,13,16,26,66,3,0,17,9,22,0,23,13,0,9,12,43,25,9,0,24,9,5,13,0,0,3,16,3,45,54,0,4,0,0,6,0,13,25,8,11,21,1,0,20,7,10,7,18,15,30,18,15,3,2,13,0,35,10,0,4,51,26,27,15,26,24,28,18,13,19,0,11,6,28,5,7,53,5,23,15,22,6,22,0,0,34,16,4,17,0,13,0,13,0,0,10,1,0,5,18,6,22,16,9,7,22,5,23,28,17,6,0,12,0,15,0,13,6,26,4,33,19,21,0,21,6,0,17,9,5,8,16,25,2,44,23,30,21,7,5,4,23,16,8,0,9,21,0,0,24,28,14,13,16,19,1,15,8,9,17,14,11,8,27,24,19,0,39,0,0,33,0,0,0,10,14,14,14,54,11,13,0,57,1,0,0,13,4,7,23,8,0,9,0,20,0,25,1,14
2017-06-04,15,0,4,15,0,10,18,13,21,45,17,14,17,0,57,5,4,16,16,4,22,13,23,42,45,14,25,0,16,3,6,10,41,13,23,29,23,3,22,9,63,30,24,7,10,14,31,0,35,11,0,0,17,22,39,14,14,0,0,0,0,36,0,11,10,9,24,10,5,3,0,0,18,21,26,27,54,27,14,16,0,5,5,14,8,13,1,10,0,28,14,30,24,14,19,9,19,26,0,22,18,19,8,39,7,13,45,22,33,0,11,28,35,15,41,12,19,20,18,29,37,4,18,26,0,22,13,43,7,12,17,3,6,18,43,4,11,26,5,25,17,2,0,6,69,12,12,40,12,0,5,26,20,24,9,9,0,5,39,30,9,34,8,22,3,42,20,0,0,0,30,30,3,32,0,41,61,20,0,0,13,15,11,29,0,5,14,18,0,8,10,1,0,39,21,11,32,28,0,18,16,20,13,0,16,0,42,12,18,14,0,5,0,0,23,16,9,16,11,17,19,22,11,15,39,6,11,32,35,12,29,20,0,43,59,29,73,0,15,29,46,13,35,25,13,17,31,0,29,0,0,33,13,10,0,14,0,0,22,10,20,0,12,36,0,23,58,49,15,4,19,0,3,21,25,0,4,15,38,18,20,22,7,32,19,6,3,11,22,32,21,0,9,11,23,7,0,17,34,0,14,22,23,14,26,32,15,26,32,32,2,25,18,11,22,15,40,25,0,9,11,30,41,13,37,23,9,10,19,0,11,4,0,4,17,30,0,29,0,0,6,12,10,51,16,2,34,2,37,19,4,8,3,0,0,8,18,28,13,2,49,0,31,20,15,4,27,19,26,0,25,16,39,19,13,26,25,20,16,48,20,14,31,10,9,12,0,16,22,0,0,33,0,8,22,45,0,0,12,18,0,19,0,0,7,0,13,52,15,9,5,14,3,30,27,18,3,22,20,13,42,8,12,6,10,8,16,18,17,0,24,42,27,0,0,7,17,23,37,4,42,0,18,10,7,2,6,49,31,24,7,0,17,0,13,28,0,2,20,9,12,1,19,22,15,17,0,14,23,0,23,41,0,9,0,0,40,0,34,0,25,15,13,27,26,13,10,0,23,0,0,20,6,8,20,0,5,14,3,0,23,0,12,6,28
2017-06-11,16,0,5,10,0,29,17,12,13,38,9,7,18,12,17,3,14,19,33,4,0,26,25,45,42,30,40,0,49,3,36,8,46,22,8,30,19,6,17,11,18,0,0,15,5,18,24,0,21,22,0,100,16,12,22,26,45,22,26,0,21,33,0,6,15,11,16,16,0,3,0,19,0,6,22,19,33,28,44,6,18,5,10,7,9,14,1,11,0,24,9,0,25,0,10,9,29,36,18,0,18,14,33,13,21,0,0,15,38,10,11,29,24,12,46,12,29,0,29,7,45,9,19,58,0,26,13,36,46,22,0,10,7,18,45,1,11,0,5,23,9,8,3,0,7,30,19,27,25,0,7,32,12,12,9,28,25,22,36,41,0,20,5,52,1,59,10,2,0,0,16,36,5,19,0,36,27,15,37,0,12,0,13,21,0,9,22,18,32,10,0,4,6,32,28,28,33,58,5,18,12,22,15,0,16,10,56,26,36,12,14,6,0,0,22,32,5,34,11,20,10,13,0,16,26,0,23,0,27,29,30,0,0,18,24,30,67,0,31,25,29,13,37,26,14,18,30,7,37,20,8,38,0,0,0,4,16,15,27,29,20,10,11,0,11,21,43,25,5,6,20,37,2,94,13,0,9,18,60,8,31,23,7,4,0,0,0,22,22,24,14,0,9,12,7,6,0,10,18,0,22,19,8,7,15,33,23,27,23,33,2,33,18,12,22,0,14,13,0,0,0,34,28,18,38,24,14,0,16,0,12,8,0,4,9,22,0,4,0,0,10,4,17,56,33,9,42,1,19,0,5,12,0,18,0,21,0,22,10,1,38,10,13,10,0,3,41,11,27,0,26,21,28,25,20,14,0,11,42,35,20,29,85,0,19,16,0,6,33,0,1,33,32,6,23,23,0,0,13,19,0,10,1,13,6,0,20,9,22,0,7,15,0,35,42,24,7,11,19,40,44,9,0,0,16,8,9,0,18,0,46,19,0,0,18,8,23,8,38,5,0,12,36,0,9,9,14,14,8,33,0,0,26,0,13,19,28,10,49,35,19,1,23,8,17,17,0,25,32,0,0,23,8,10,0,0,49,19,12,0,20,31,14,0,20,11,10,0,37,0,4,21,39,18,35,0,6,15,3,0,11,10,0,13,28
2017-06-18,18,18,4,13,8,48,29,41,26,56,9,7,19,12,32,1,18,19,58,19,22,13,25,28,25,19,25,0,16,2,12,0,54,13,15,44,14,3,33,7,45,0,24,7,4,11,33,0,15,8,22,0,20,0,4,0,43,0,0,0,10,31,12,11,14,9,17,14,9,4,0,37,36,16,31,13,11,0,56,16,6,2,0,17,33,60,1,10,0,34,0,15,36,34,14,17,9,61,9,44,13,35,39,0,27,0,0,19,40,0,11,12,69,9,29,7,19,10,0,27,34,20,0,62,0,38,13,29,37,16,26,3,3,18,44,2,22,30,5,7,8,15,0,0,25,20,25,26,9,28,5,39,12,6,7,24,40,21,47,0,0,0,4,29,3,56,7,0,0,0,0,29,4,29,0,37,61,25,0,31,10,15,12,33,23,18,7,9,15,6,0,1,6,23,22,0,64,84,16,13,8,29,6,0,17,0,57,16,35,9,13,11,0,52,21,31,6,57,0,22,18,5,0,60,32,0,11,0,36,16,29,0,0,28,35,7,24,16,15,29,18,33,26,30,19,22,35,0,29,10,7,12,19,10,0,0,15,0,22,9,22,24,13,27,11,26,37,12,5,8,36,12,3,91,13,0,0,2,19,20,25,0,13,4,9,0,0,0,37,23,21,0,9,6,11,3,0,9,9,11,7,25,0,0,17,16,22,26,16,0,2,25,20,9,0,0,13,12,0,9,23,35,17,35,0,8,9,10,6,0,22,6,0,9,26,34,0,18,0,1,2,29,38,38,40,11,68,3,37,0,9,67,0,0,56,17,26,7,8,3,25,18,24,29,15,5,15,21,0,42,11,14,23,22,13,16,12,20,24,27,20,28,31,25,9,8,21,11,11,22,0,36,31,27,16,0,0,0,12,18,0,10,1,24,3,0,14,15,13,18,7,21,4,33,27,20,8,43,16,26,28,25,0,19,25,8,11,0,23,0,52,18,13,0,4,6,15,23,30,2,42,11,6,0,8,7,23,22,31,8,0,17,34,23,17,30,0,8,23,18,24,0,16,22,23,49,0,3,8,0,23,29,16,9,0,0,44,0,0,29,26,23,17,7,39,9,14,0,51,1,0,30,25,4,14,0,8,14,3,22,21,0,24,15,27
2017-06-25,15,19,5,16,0,34,15,22,14,40,0,7,18,0,17,0,9,17,44,12,0,0,26,46,47,28,23,0,17,2,37,22,30,13,24,36,26,0,46,4,36,0,13,11,3,11,29,0,27,6,0,34,15,0,18,15,23,45,27,0,0,45,25,23,17,7,10,11,15,3,0,0,0,17,29,17,45,28,15,6,24,3,10,18,26,14,1,11,0,27,10,0,25,7,10,0,10,46,27,23,15,30,0,14,49,14,0,20,53,0,0,30,12,12,27,10,20,11,0,15,36,16,0,70,0,39,9,31,39,22,9,4,44,56,46,1,23,5,5,21,26,10,0,0,30,6,26,27,16,0,5,42,25,37,11,25,0,44,36,21,18,30,5,30,3,45,10,0,25,14,0,36,4,19,0,27,37,16,19,33,12,16,11,38,24,15,30,19,16,3,0,1,0,16,18,6,34,0,6,16,9,24,13,0,15,0,31,14,46,10,0,8,0,0,34,17,7,9,0,22,23,8,0,16,27,0,12,17,45,30,31,0,0,24,49,60,26,34,8,31,58,18,28,21,13,29,30,7,8,0,8,9,7,10,0,4,0,0,29,10,22,31,21,38,6,31,42,19,0,7,26,12,4,49,17,0,9,10,40,24,10,0,7,17,0,7,3,11,23,26,22,0,10,18,13,7,18,6,45,23,15,30,0,15,23,0,26,35,33,0,2,7,38,7,0,15,32,0,68,9,0,34,18,19,77,24,11,15,13,0,12,5,0,20,18,27,55,34,0,0,2,13,24,34,0,7,64,1,10,0,7,12,0,18,15,22,9,0,6,3,26,20,19,31,16,4,21,13,54,22,21,12,45,5,20,14,13,0,17,29,5,7,32,10,10,14,45,28,23,0,1,25,16,13,17,24,13,0,26,0,47,20,0,13,5,36,20,39,15,9,8,44,4,16,14,21,5,46,16,0,0,9,0,0,11,13,24,19,15,0,36,6,0,53,9,6,24,25,13,2,22,24,12,21,7,7,10,9,8,0,0,9,24,0,9,19,0,11,27,14,13,0,20,0,12,52,0,11,25,0,24,38,4,40,0,0,43,0,0,30,38,14,31,14,7,14,19,24,45,1,4,11,26,0,36,0,1,15,6,0,11,0,63,9,14
2017-07-02,10,0,2,10,8,27,19,12,36,29,18,0,15,0,9,4,9,15,28,4,0,0,24,42,41,12,24,0,33,2,12,16,23,4,0,41,24,6,35,5,30,0,0,11,8,10,35,0,21,3,0,0,14,12,23,18,45,22,54,0,11,36,0,0,2,7,15,7,0,2,0,0,0,6,17,21,45,0,15,0,6,5,5,7,0,0,1,11,0,21,15,16,25,14,45,0,10,46,0,23,13,16,8,0,35,0,0,23,34,42,0,17,12,10,23,15,15,22,20,21,13,9,0,16,0,34,4,27,8,18,18,4,3,0,41,2,23,14,0,5,0,5,0,0,30,12,13,22,6,30,4,0,8,0,10,19,8,11,32,10,18,15,4,8,2,0,10,2,0,0,0,20,5,19,0,27,28,5,0,0,10,16,8,28,0,3,15,28,33,15,0,4,10,16,23,6,0,0,0,15,7,17,7,13,14,10,22,13,14,10,28,5,0,0,22,17,7,43,0,14,10,15,24,16,29,0,36,0,26,8,10,42,0,8,0,30,34,0,0,39,39,9,19,42,9,21,22,7,11,0,8,17,0,10,0,0,16,0,25,50,12,36,14,9,17,33,33,13,10,2,18,0,4,60,34,0,9,15,0,11,10,24,7,21,10,0,0,11,26,28,23,0,0,6,9,1,0,6,9,11,0,11,8,7,12,25,18,22,20,0,3,13,23,10,23,15,0,13,0,18,24,25,18,19,0,8,8,0,0,0,12,2,16,8,18,18,0,34,0,1,6,9,14,21,8,0,100,1,19,20,7,19,4,18,15,31,9,0,10,1,52,0,26,21,32,3,18,15,0,15,24,26,16,11,14,17,0,11,17,29,15,15,11,5,5,12,45,23,11,0,0,31,16,9,6,0,13,31,26,38,48,10,1,0,4,0,15,19,13,0,6,30,3,16,42,20,4,0,11,41,15,0,0,0,16,4,29,0,15,0,23,32,0,0,18,11,29,33,19,5,0,24,6,21,11,2,8,28,33,0,0,0,13,0,18,34,0,6,26,11,26,1,13,15,9,0,15,22,8,0,0,15,12,30,0,0,34,0,0,30,17,11,28,7,14,10,11,0,38,1,4,0,13,13,7,0,5,0,6,0,11,10,25,28,15
2017-07-09,6,18,2,21,0,21,15,8,22,36,18,15,18,24,0,5,19,16,5,4,0,13,26,25,40,20,22,0,33,4,6,5,16,18,8,36,9,0,46,13,0,0,25,15,3,12,31,0,52,3,0,0,24,35,18,20,22,0,0,0,10,47,25,6,4,25,13,13,10,3,0,19,19,22,20,19,11,0,0,11,0,5,5,4,9,0,1,11,0,26,10,0,12,14,10,44,48,37,0,34,14,22,8,13,28,0,0,17,31,21,34,17,12,13,38,12,5,21,19,17,19,16,0,48,0,35,13,45,23,16,9,0,3,0,45,5,0,4,5,13,9,3,0,0,34,9,0,24,6,0,5,18,25,12,17,28,0,38,38,20,9,5,4,22,1,15,10,0,12,0,0,31,3,37,0,30,36,5,19,0,13,0,13,23,0,7,7,9,32,18,10,1,3,16,24,17,33,0,0,15,20,18,9,27,12,0,47,16,50,10,14,6,10,54,24,16,11,17,44,21,13,10,24,31,24,3,59,0,28,8,40,0,0,18,0,37,17,17,0,33,38,17,0,21,16,27,26,7,19,0,0,0,7,0,0,0,0,0,23,30,21,15,26,37,11,29,34,32,25,10,34,61,5,31,26,0,9,18,0,13,10,0,0,17,10,13,9,34,30,33,29,0,28,12,13,10,18,4,18,45,7,27,8,0,13,17,5,35,20,33,2,33,19,10,0,0,32,13,0,18,0,43,21,23,0,8,10,15,19,0,46,5,16,5,9,58,18,15,0,1,6,61,20,45,33,9,98,1,38,0,7,22,0,9,29,30,0,15,20,4,0,29,41,0,16,3,28,22,54,0,28,14,20,22,7,24,26,21,25,35,15,0,64,0,9,9,0,11,11,0,0,29,0,6,29,0,26,0,13,0,23,20,1,13,3,18,19,32,19,37,7,15,3,42,56,21,7,23,13,41,15,17,0,6,11,0,14,19,9,0,32,37,0,0,14,10,21,32,25,14,0,12,18,11,6,11,10,18,16,16,0,9,26,0,13,29,0,16,24,15,25,1,15,8,17,34,0,21,32,0,24,41,8,30,0,0,37,19,12,0,17,11,17,14,27,12,8,24,46,1,0,10,26,13,21,0,4,0,9,0,20,0,100,29,0
2017-07-16,7,0,5,14,0,16,17,10,41,29,18,7,18,37,17,1,14,18,11,8,0,27,22,29,30,24,26,0,100,1,37,33,37,0,8,31,11,0,35,8,42,0,26,15,9,11,35,0,32,8,0,0,20,35,0,9,30,0,54,0,11,49,13,23,6,9,23,11,40,3,0,0,0,11,37,21,34,0,59,11,36,3,10,22,17,0,1,5,0,32,5,16,25,22,15,0,10,28,27,0,11,83,33,14,28,0,0,19,39,10,0,21,0,9,23,24,10,11,10,28,29,7,0,60,0,30,27,50,8,23,9,4,3,75,46,3,12,23,0,21,17,5,1,0,42,3,20,32,19,0,6,19,17,25,11,19,8,16,57,42,9,36,5,0,2,30,14,2,0,0,0,36,4,38,0,45,55,0,0,33,13,31,16,31,0,11,15,0,16,12,11,1,7,25,20,6,51,29,0,16,17,29,9,27,15,0,41,22,42,12,56,8,10,37,50,66,3,9,0,18,23,20,0,32,37,0,36,0,45,38,51,42,0,21,37,15,17,25,0,36,29,13,19,26,14,26,60,0,23,31,8,39,0,21,0,4,32,15,28,40,24,10,18,38,6,32,50,32,10,5,50,25,6,45,37,0,5,10,0,22,21,0,14,17,10,0,0,46,39,17,24,0,19,6,5,7,18,2,36,11,30,18,16,22,13,25,18,24,30,0,2,7,17,25,46,15,14,26,0,18,0,32,25,14,19,8,36,10,3,0,0,9,0,3,18,41,92,8,0,0,6,44,24,35,25,9,86,0,10,20,2,23,0,18,0,26,19,0,18,2,52,10,23,0,0,3,24,20,55,22,24,18,20,18,7,32,13,11,14,79,26,29,32,5,14,26,22,6,11,0,0,29,0,18,23,24,0,0,26,19,0,0,1,13,5,0,18,26,10,0,9,67,2,31,71,16,6,11,20,14,30,0,13,26,16,17,75,0,12,8,24,13,28,0,14,6,13,41,26,7,45,12,6,0,9,9,4,28,8,0,0,0,35,0,31,46,0,9,34,12,45,2,19,31,27,17,0,22,0,0,0,34,100,20,0,0,54,39,0,0,15,16,18,21,14,14,21,0,36,1,4,11,7,9,43,0,5,15,3,0,9,10,25,19,29
2017-07-23,24,18,4,15,16,8,11,13,27,58,18,7,17,12,100,5,5,18,27,32,23,26,28,64,81,32,48,0,0,4,30,21,36,17,23,45,23,3,85,12,12,0,25,4,13,15,32,0,36,22,0,33,28,23,13,32,44,0,0,0,0,37,62,0,13,5,10,23,5,8,0,19,0,17,41,26,22,0,14,0,35,0,5,25,17,21,1,11,0,44,9,16,25,35,24,35,19,0,9,34,25,100,8,13,14,0,15,21,38,20,0,8,36,19,15,17,53,11,19,24,25,18,0,74,0,40,4,43,8,19,0,0,20,18,34,4,0,26,0,18,34,13,0,0,37,15,25,32,55,0,6,18,8,6,11,30,0,21,40,20,9,20,9,15,3,15,10,2,0,13,16,27,2,15,0,40,54,36,0,0,13,15,29,30,12,9,22,9,16,8,10,4,0,48,26,34,0,0,11,18,18,37,2,13,18,10,98,21,14,16,14,12,10,36,18,16,9,8,33,21,16,17,0,0,38,6,0,16,41,62,50,0,0,42,0,22,59,25,8,27,57,9,9,41,29,22,40,0,19,100,8,13,13,10,0,7,16,0,23,10,18,60,16,46,11,31,41,32,35,6,36,36,4,39,23,0,14,45,0,21,36,0,7,29,10,7,0,0,25,26,20,0,0,0,11,8,0,6,27,33,7,28,0,7,33,0,15,37,13,0,2,33,22,12,22,30,23,38,0,18,0,31,21,27,38,40,14,10,25,0,23,10,31,7,9,40,18,34,0,1,10,73,20,41,17,9,56,1,9,0,4,26,3,9,14,9,0,15,45,1,0,10,25,10,47,3,25,36,27,51,26,10,24,13,47,36,0,0,22,63,40,14,11,10,5,13,88,11,33,0,0,24,63,6,17,23,0,0,51,19,23,60,1,25,5,0,17,85,17,18,7,29,5,15,14,17,9,78,43,27,29,9,25,6,11,4,28,19,12,0,32,43,0,35,27,7,18,24,69,0,22,58,12,21,11,18,12,100,0,16,7,0,54,0,9,33,0,19,25,20,25,2,20,15,17,51,14,17,8,0,23,50,37,98,0,0,41,19,23,0,22,19,41,42,20,12,22,0,70,0,7,21,6,35,49,0,18,15,12,0,18,0,12,20,28
2017-07-30,12,36,5,17,23,35,37,21,13,34,17,14,18,12,24,9,32,16,42,27,67,13,25,34,39,61,36,0,48,2,23,10,51,26,38,54,29,9,22,8,29,15,18,25,10,23,20,0,35,8,22,97,23,11,17,85,72,0,26,0,0,33,12,11,14,6,18,18,5,5,0,37,18,11,42,22,87,0,42,0,0,8,5,24,66,13,1,15,0,46,18,30,60,7,14,26,47,62,17,78,25,39,24,13,34,52,30,31,38,10,33,24,23,19,55,5,14,21,19,34,19,4,0,83,0,35,21,53,67,24,9,13,10,54,43,3,0,30,5,10,17,7,1,0,25,21,0,34,45,0,8,49,32,0,14,9,16,16,32,20,26,15,5,43,1,14,16,0,24,0,15,29,4,29,0,16,35,25,54,63,15,15,17,39,12,7,21,18,0,10,0,4,0,55,31,5,16,84,0,15,3,36,9,64,15,10,45,19,44,12,13,7,20,35,18,47,6,41,32,20,12,7,11,30,30,6,34,16,43,36,29,20,0,26,24,22,41,8,15,43,28,25,36,30,21,23,37,6,33,10,15,29,6,0,0,7,31,0,18,29,24,39,15,36,0,32,43,37,20,6,19,12,7,32,26,0,4,15,0,16,15,11,0,20,9,13,3,11,40,35,21,0,27,40,11,1,17,10,26,11,7,27,8,28,12,32,20,10,35,32,2,26,23,11,0,0,27,50,0,26,11,33,31,36,37,23,13,29,9,0,11,12,0,8,44,35,0,22,0,0,14,17,23,30,32,15,68,1,37,39,9,14,0,9,28,17,9,28,15,2,12,19,34,20,46,7,30,27,52,28,27,13,27,24,20,30,50,10,19,55,54,28,21,0,14,6,43,11,0,0,0,41,15,13,22,0,0,30,13,0,0,29,3,0,3,17,13,49,14,9,7,28,4,30,13,29,7,33,41,26,28,8,12,19,5,20,23,18,29,0,34,36,14,0,18,10,25,39,37,4,42,11,24,20,7,7,10,18,8,8,14,0,32,0,21,39,0,16,39,42,49,2,20,0,18,17,14,14,8,26,23,50,4,57,0,0,39,0,11,29,21,28,40,0,26,13,13,23,68,0,0,10,19,9,34,0,10,15,0,22,26,10,48,28,14
